nWT,nKO,nPresWT,nDivWT,nPresKO,nDivKO,percentTotalDivergence,percentTotalPreservation,k_WT_NS,k_WT_Di,k_WT_Pr,k_WT_NC,k_KO_NS,k_KO_Di,k_KO_Pr,k_KO_NC,k_WT_NS,k_WT_Di,k_WT_Pr,k_WT_NC,k_KO_NS,k_KO_Di,k_KO_Pr,k_KO_NC
46,46,1286,0,1138,296,0.0507196710075394,0.415352981494174,43,0,3,1,34,3,3,1,43,0,3,1,34,3,3,1
49,49,1275,0,1571,0,0,0.487662782727896,46,0,3,1,41,0,4,1,46,0,3,1,41,0,4,1
50,50,1262,11,1344,138,0.02553118574366,0.446538725154215,46,1,3,1,39,2,4,1,46,1,3,1,39,2,4,1
55,55,1204,0,1070,44,0.00753941055517478,0.389650445510624,52,0,3,1,46,1,3,1,52,0,3,1,46,1,3,1
55,55,1219,0,1483,0,0,0.462988348183688,52,0,3,1,50,0,4,1,52,0,3,1,50,0,4,1
63,63,1203,0,1049,69,0.0118231665524332,0.385880740233036,60,0,3,1,50,2,3,1,60,0,3,1,50,2,3,1
57,57,1135,0,1161,0,0,0.393420150788211,54,0,3,1,53,0,4,1,54,0,3,1,53,0,4,1
61,61,1141,0,1357,101,0.0173063742289239,0.428032899246059,58,0,3,1,54,2,4,1,58,0,3,1,54,2,4,1
63,63,1120,0,1582,30,0.00514050719671008,0.462988348183688,60,0,3,1,55,1,5,1,60,0,3,1,55,1,5,1
64,64,1167,0,1344,34,0.00582590815627142,0.430260452364633,60,0,4,1,56,2,4,1,60,0,4,1,56,2,4,1
73,73,1119,0,978,17,0.00291295407813571,0.359321453050034,70,0,3,1,63,1,3,1,70,0,3,1,63,1,3,1
68,68,1071,0,1314,0,0,0.408670322138451,65,0,3,1,62,0,4,1,65,0,3,1,62,0,4,1
73,73,1040,0,1013,19,0.00325565455791638,0.35178204249486,70,0,3,1,64,1,4,1,70,0,3,1,64,1,4,1
73,73,1045,0,1379,0,0,0.415352981494174,70,0,3,1,66,0,6,1,70,0,3,1,66,0,6,1
84,84,1028,0,1262,26,0.00445510623714873,0.392392049348869,81,0,3,1,65,1,7,1,81,0,3,1,65,1,7,1
89,89,932,0,977,0,0,0.327107607950651,86,0,3,1,75,0,4,1,86,0,3,1,75,0,4,1
85,85,1351,0,1456,0,0,0.480980123372173,81,0,4,1,72,0,7,1,81,0,4,1,72,0,7,1
93,93,1210,0,1408,0,0,0.448594928032899,89,0,4,1,79,0,6,1,89,0,4,1,79,0,6,1
91,91,856,0,1434,0,0,0.392392049348869,88,0,3,1,76,0,8,1,88,0,3,1,76,0,8,1
92,92,1045,0,1249,32,0.00548320767649075,0.39307745030843,88,0,4,1,83,1,6,1,88,0,4,1,83,1,6,1
99,99,961,0,1305,0,0,0.388279643591501,95,0,4,1,88,0,6,1,95,0,4,1,88,0,6,1
100,100,1002,0,1336,0,0,0.400616860863605,96,0,4,1,88,0,8,1,96,0,4,1,88,0,8,1
