UniqueID,b1.126,b1.127N,b1.127C,b1.128N,b1.128C,b1.129N,b1.129C,b1.130N,b1.130C,b1.131N,b1.131C,b2.126,b2.127N,b2.127C,b2.128N,b2.128C,b2.129N,b2.129C,b2.130N,b2.130C,b2.131N,b2.131C,b3.126,b3.127N,b3.127C,b3.128N,b3.128C,b3.129N,b3.129C,b3.130N,b3.130C,b3.131N,b3.131C,b4.126,b4.127N,b4.127C,b4.128N,b4.128C,b4.129N,b4.129C,b4.130N,b4.130C,b4.131N,b4.131C
Lrrc8a|Q80WG5,911258.1266,942770.948,954478.4337,990981.6146,1140469.179,983664.6411,1120203.672,1089308.081,1075168.384,1090796.641,999280.1982,1069465.568,1069346.489,1229877.376,1179481.908,1338339.442,1169847.348,1327082.036,1022371.522,1236815.934,1090123.458,1175827.954,2087458.256,2160051.105,2248738.552,2226190.213,2332621.357,2161320.346,2175366.724,2275810.782,2144844.898,1852218.601,2120841.384,795295.9702,688386.3249,984838.6035,890030.8658,895769.9993,829490.8988,999233.7855,959984.9696,974392.3876,927737.0681,748572.4387
Lrrc8c|Q8R502,23415.24665,43337.20496,35945.71954,29082.61319,42687.32357,30738.32513,47306.81083,31225.18283,42317.27795,44045.71612,28941.78752,154298.0795,155998.0034,157032.1992,153594.5783,225296.9153,166817.7154,179801.6286,165904.5333,182449.931,178177.1772,158592.023,41251.83817,41958.52857,40106.753,34379.65941,44888.36732,46328.51347,45304.2435,38890.42867,41343.37598,46957.99612,35968.7689,82593.93982,105610.036,80839.55576,117117.4256,109029.857,77433.66949,93881.28832,109490.5325,129754.4347,122158.2054,93438.83278
Lrrc8d|Q8BGR2,9360.402971,9937.344227,10587.53058,12020.97579,8939.009954,8340.738761,14719.69582,11555.51475,12627.03857,12874.5724,10636.05865,119592.5103,89158.40374,109481.9309,94188.09954,130015.8244,119052.924,109457.8583,101467.6893,128920.6853,127152.7218,113358.2855,37303.53677,50624.16841,46506.59564,40025.30284,52568.38637,37043.03352,50747.2348,45889.8856,40106.31247,41602.61531,42401.62663,127715.4808,118420.7227,139996.2801,165888.2471,152335.0858,115591.052,146936.4709,159018.9803,183642.6776,164086.4304,117891.1626
Lrrtm1|Q8K377,240032.3113,259178.0346,230383.0428,231363.3826,228560.6887,254132.0789,197419.2104,245720.2652,252891.5253,276609.6925,277101.7569,145875.1891,134890.8433,128267.1534,116162.297,95029.94598,177001.2517,112217.2418,117747.2974,146723.3356,99391.0937,153207.1657,627292.3321,582437.689,610547.8175,636950.8521,476632.2378,721765.6067,656031.0685,489661.4486,593283.1906,588587.2661,679607.3538,272183.6219,138163.6486,303088.3013,224239.5813,150531.8421,243395.5702,258161.2787,270256.422,240628.7384,216034.0445,246427.7102
Lrrtm3|Q8BZ81,14290.65,16973.85828,16769.13649,15196.51776,20263.85424,14943.40829,16575.9978,18726.9911,21367.52271,25872.70762,14298.33596,115900.9221,58900.34629,59366.51156,44089.52399,66843.19063,112003.8618,51643.63379,57099.75224,87753.24249,67847.1762,117887.6222,159088.1097,234292.8884,158061.8179,165890.0889,179056.9014,159430.779,178014.5685,197516.0804,226365.9815,142409.7838,164360.9849,211931.9857,224853.6284,179711.5494,221266.0448,210374.8807,204446.7448,216927.8654,233123.6988,230713.1552,220687.3168,173362.1398
Lrtm2|Q8BGX3,143076.3239,157699.0816,198019.1025,180463.3877,232567.4081,151129.3257,218854.6723,205549.9412,246787.5936,227835.5481,176899.4494,440637.702,470725.7974,516185.5677,543250.1293,540854.6334,457865.3015,462860.5624,493966.5458,637998.0086,562151.0699,426599.7474,102386.2659,114622.1671,117160.0485,90335.47596,103688.6402,108414.2136,110586.5301,113911.565,142817.3241,120748.6392,94809.0816,38808.63946,37763.49741,41373.48521,47745.11632,49458.29217,35682.32883,39638.93953,45172.81478,49139.24945,56396.53865,30618.47552
Lsamp|Q8BLK3,30986975.89,32648837.58,33299824.39,33814461.18,37155815.95,27826633.89,38088166.65,33840277.29,36646861.53,36762745.39,28004716.14,27345210.04,27854008.67,29298585.51,28681172.78,29389623.05,25610679.32,29127163.74,27919548.25,34822741.33,30607796.91,25248092.08,17638291.8,19363791.71,19939012.79,18165390.55,18865261.36,16794841.3,19090519.34,17303397.72,18829010.74,18156240.73,17782652.27,14464576.74,16539021.57,18075480.65,18805264.14,19940020.23,13658767.12,18930644.73,18605206.63,20145329.13,20969719.63,13752220.68
Lsm12|Q9D0R8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139172.8154,165044.1576,133889.0117,153189.5166,170933.7879,120989.9377,168610.8344,176905.9409,179214.3826,142876.2181,153226.2437,113746.4585,170946.8374,151138.7345,163913.3681,190859.7283,117045.6171,147854.6731,146423.6763,164605.1359,164717.3248,112367.7715
Lsm8|Q6ZWM4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29733.71737,118440.7042,35724.85625,63385.03709,31625.06704,29729.22189,32037.86485,36850.6833,31392.89169,30954.58764,36283.96005,38772.3875,33266.68583,37023.04578,38955.71238,36781.06604,39333.00626,37819.53674,32071.97791,43711.1024,40533.61348,37717.93041,57245.60055,63582.65725,61105.61817,49124.62014,81157.79066,47323.59523,60836.7173,60168.79536,65974.08699,59832.95651,46745.57639
Lta4h|P24527,1504799.997,1520184.852,1484750.156,1596141.47,1467119.318,1532234.277,1498607.385,1459498.341,1678317.929,1539541.551,1517645.798,1030399.288,1069418.73,1215709.149,1176943.944,1096950.415,1047927.476,1282864.638,1087404.428,973579.1429,1175265.372,1070770.675,1745839.635,1536404.028,1590253.741,1670718.659,1579004.488,1878157.676,1785036.754,1604744.474,1613817.317,1820414.746,1814417.677,1078630.687,1214216.274,1155946.111,1072036.118,1039651.076,1091257.634,1046646.823,1071748.76,1064553.226,987846.9565,1063595.45
