UniqueID,b1.126,b1.127N,b1.127C,b1.128N,b1.128C,b1.129N,b1.129C,b1.130N,b1.130C,b1.131N,b1.131C,b2.126,b2.127N,b2.127C,b2.128N,b2.128C,b2.129N,b2.129C,b2.130N,b2.130C,b2.131N,b2.131C,b3.126,b3.127N,b3.127C,b3.128N,b3.128C,b3.129N,b3.129C,b3.130N,b3.130C,b3.131N,b3.131C,b4.126,b4.127N,b4.127C,b4.128N,b4.128C,b4.129N,b4.129C,b4.130N,b4.130C,b4.131N,b4.131C
Zdhhc17|Q80TN5,207853.07,253072.1906,263764.0825,262000.4256,265112.1513,235317.0787,231913.5667,248030.3721,223059.0925,213327.2823,230135.5486,85582.68245,92866.64598,101379.3926,85758.60641,100047.2144,82625.24154,97158.77683,111627.7377,88666.37971,98767.04647,98529.2523,182782.5128,199777.5366,203821.7336,194535.8602,201106.3059,195664.8084,207724.6698,258013.5205,201112.8634,208090.5662,214652.9067,217927.5593,215767.4876,197008.489,225845.7469,233757.0879,219996.0636,244512.2715,203222.4618,197579.2179,226144.1602,210282.871
C1qb|P14106,331864.5001,269822.448,304391.2645,361052.1835,372483.38,387368.6845,318851.7285,361171.8112,366006.8369,311440.0874,371217.6039,24778.44759,24999.33565,24436.98803,29875.87567,22323.35554,18973.19069,29088.4127,26513.27991,28304.35924,25340.33408,19005.88646,481652.0223,605743.6322,553483.2969,586953.1419,581371.5697,552557.4054,576466.3307,669354.2063,475772.159,624608.1455,441382.081,97209.26098,150051.1494,167045.0548,163546.7461,183651.8885,98923.54168,167666.2007,172741.7188,140032.5584,175120.1138,95019.46481
Wwp2|Q9DBH0,132937.2448,149190.7359,164196.5789,159260.7415,172697.8122,126010.875,142501.2083,132104.6581,127498.0843,190027.6582,145449.8579,121984.8284,153301.2681,134991.025,160273.4186,143523.5654,133006.0544,156691.3138,129088.9243,153690.0426,128848.7082,146267.9501,178010.2031,202818.4207,194655.0908,185536.5771,168845.8311,193625.5674,177086.7681,178851.1986,198479.5753,199182.3011,192468.0257,27784.77812,41038.87925,48701.94517,53123.80135,55962.80645,31671.75949,38029.03079,41105.21433,40214.95994,49255.93966,34457.69494
Yjefn3|F6W8I0,54619.90943,63675.03212,75197.99801,64926.35349,62269.40539,53716.89418,67506.60426,68049.03404,84092.86396,65089.79184,53403.73316,48288.2689,51605.13404,63876.14936,65192.54034,57987.56924,43585.72182,62974.09556,68105.37801,62354.62422,56469.96599,58119.40528,78257.02921,82672.16214,106472.9536,91298.44906,106622.4772,71816.11599,115228.1892,74270.97542,101509.3597,92603.59747,64824.61909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mb21d2|Q8C525,193083.3948,175580.4887,185436.699,170725.4882,238706.4204,208987.6253,175023.428,165585.2411,179468.9819,185242.6264,190782.5523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274214.8694,301291.022,325596.5932,262833.6148,302915.2089,303185.8815,293874.0558,319502.6892,304234.5805,314701.9504,293640.0959,324782.9365,392421.9262,415780.508,504522.3965,398521.5797,336438.1011,397585.9401,396463.658,318940.4819,401183.3911,313599.9366
Wipi2|Q80W47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412400.7498,493936.9908,426725.6985,464694.8691,470397.3083,387500.893,462789.9092,459631.6444,451762.8546,519360.0605,465614.2864,728537.5364,683969.2233,735977.569,871828.6293,799626.0755,832657.4091,840888.4174,696172.712,791806.1833,809248.7403,785219.2845,922840.5237,918925.3581,979921.5756,998607.0703,794550.4115,868311.2462,909728.2844,881545.7641,933358.4024,893004.212,969290.6675
C1qtnf4|Q8R066,155800.7243,188976.4186,158782.7016,212460.1856,246738.1583,155256.6709,178537.6392,153920.9108,229536.3123,194636.514,155720.5441,336822.8623,492728.2929,541940.9991,553115.7121,480976.5246,321039.0881,481187.534,485776.3441,465237.1094,522344.4608,378483.6664,210604.6986,277569.6903,234735.242,266751.3387,280695.1081,226831.2801,262296.9824,266951.561,268880.1596,266649.369,213418.4746,197984.0811,181940.1785,254960.4967,282226.3311,251742.428,241736.7833,331920.0337,250217.2981,216064.518,275617.2122,225139.2911
Lpcat4|Q6NVG1,265227.5891,265326.1987,307535.3423,271893.9025,276137.8959,285437.6594,286234.5447,284394.0004,249753.1247,246995.2942,290504.6155,655156.778,565180.4084,667718.8413,633147.8549,685486.3014,560477.647,627914.3609,617817.4509,661977.9526,653008.307,653936.8306,278023.35,291593.2596,283319.5173,253015.1143,298134.1905,293681.9848,267641.4859,277374.3978,246876.1163,282836.31,286465.9969,235937.5942,228260.8281,206699.6962,243041.8384,224966.7856,242573.6987,247849.2197,259781.3392,220486.9116,301549.6783,234468.1111
Ube2l3|P68037,3461314.777,3783845.068,3540317.365,3082024.394,4118898.34,2566052.483,3412356.713,3989898.352,3924835.3,3678197.739,3257394.207,1972463.858,2169216.175,1845443.872,2303857.963,2109861.062,1785376.453,2046837.73,1851012.241,2327125.2,2260740.501,1987934.406,2013255.943,2105977.308,2170327.715,2199187.066,2172781.366,2188104.317,2317976.568,2100912.86,2269109.746,2279500.227,2082616.676,1057723.745,842564.7686,607759.0347,898686.991,904938.3726,1000724.925,935044.4089,983880.1935,950479.3703,749703.5307,1053462.659
Dynlrb1|P62627,805968.3088,747046.4993,796636.2433,787953.4496,897933.1774,882479.8278,673259.2055,746511.0207,977658.0018,887263.845,797280.8234,2484163.38,2888930.184,2610163.438,3016866.966,2618898.999,1866494.924,2642667.312,2616245.453,2900545.87,2796899.41,2718046.413,1038556.539,1050849.636,1233462.454,1151879.674,1194530.52,938159.0179,1105340.753,1133022.923,1198064.323,1150944.129,991983.1107,1820993.345,1841245.333,2134766.219,2144544.395,1998045.807,1754342.466,1895067.082,1884728.995,1687132.342,1749256.455,1661805.341
Capns1|O88456,1090038.637,1098698.384,1174045.289,1004175.911,1025271.789,1227154.941,944161.0585,1277916.532,1023474.416,1231468.356,1184078.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108918.1751,176707.933,167194.3741,175828.0548,170023.9956,99023.87598,143084.6105,124742.4526,128399.4733,160313.2875,104365.8977
Limd2|Q8BGB5,117154.5085,119293.8991,133900.2938,153936.3263,132093.1643,120373.5097,122901.7706,130085.96,136629.4232,161612.2142,115962.5153,635496.3497,437886.1203,372025.7887,402103.751,496783.7709,855811.9494,380583.3374,436960.3465,403758.087,433325.2073,726824.8257,320442.0073,375974.0882,433270.0377,481762.6641,429523.6487,352610.5642,322338.4274,400917.9763,332849.1073,424187.0758,358399.6542,297668.1954,237279.4978,235988.735,194343.603,305372.4215,292766.4909,206359.6968,250908.4093,293790.7265,194155.8966,302686.5363
Cnst|Q8CBC4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41404.1226,49536.40556,55147.8666,48678.40003,49467.64031,39277.24939,50105.846,51623.19946,49101.29442,50871.96512,47933.86429,29516.40438,33756.44967,31628.79981,35050.4027,35416.03072,29141.30713,33980.39431,30388.94446,34047.87918,33490.97794,33935.01856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hnrnpa3|Q8BG05,71688.87606,92068.47022,136623.6514,69506.35151,88758.77635,82547.13143,135256.551,95682.98544,94337.83266,97636.46554,72004.61317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86276.01286,82918.35759,68024.04556,82160.79596,81603.85707,89170.39459,88422.56147,85916.78272,99822.9224,82389.93893,94953.40598,81590.01125,205673.9733,200755.1096,169703.9082,197904.3637,76316.52606,124486.6862,143514.7275,122238.2305,128344.4812,81772.77363
Arf4|P61750,854803.8782,970659.5959,875216.7468,823887.6531,958163.0584,1002199.327,676274.3651,914971.4366,874442.5235,1073666.587,832119.9977,554119.8329,736628.0068,670716.559,741060.3215,746652.8239,589392.6225,644987.0306,732289.529,726216,739178.8031,642212.2884,296584.9694,299459.2761,335899.3321,338065.0189,297391.7506,292987.6491,286248.471,298810.2288,290824.4694,318829.5898,297047.1605,203790.886,245360.2452,304531.1604,273139.9915,261796.7882,199016.3693,257562.5184,249234.7659,235027.8251,217153.2817,215369.8457
Eri3|Q8C460,991062.0985,891018.5727,973376.2513,915611.2402,1009912.347,755699.0326,789235.8524,823260.2872,896563.0015,836827.2821,844195.2088,193534.0532,169766.4844,163777.1516,162371.7302,188418.2162,190821.9627,171356.8444,145634.7839,167001.4473,183288.6449,218894.829,613363.4747,546177.2222,546472.7069,614406.1613,566368.5543,671876.9972,587312.2021,527472.8217,511629.3931,531711.7325,642850.9284,138232.3941,91940.56557,60855.94083,77194.67087,70599.24661,119419.3772,68877.17385,73960.83782,124363.9031,56449.83009,114763.2438
Cryzl1|Q921W4,294376.6454,337818.0455,342592.3856,346455.5654,330883.0428,320595.1252,268835.7614,339620.323,322647.5652,384286.0316,315919.3957,175726.8211,181376.7186,183225.8804,186228.7974,162975.6033,137983.7798,181165.2425,171678.1299,160548.2272,191065.629,165588.4297,545039.7121,621055.238,612597.0874,611620.0072,588903.5373,559435.4048,620145.3018,647853.1399,589732.0932,545864.711,528459.3764,57669.76361,57293.44567,64737.12793,59398.39372,56703.10782,55427.25837,62904.27479,59893.65573,51079.64853,53772.47063,56381.74061
Alad|P10518,1367746.965,1359996.664,1756965.562,1818005.171,1575069.14,1671405.072,1631066.283,1784997.201,1375136.694,1603734.823,1523599.941,410530.3192,537933.1837,381777.4003,498942.1704,410435.597,346247.0566,412312.8938,376074.1222,434291.4414,434638.918,426790.4027,137863.7671,178419.2203,191161.2748,191985.38,179878.6127,180962.3475,178524.4588,166291.9337,197689.2848,161079.8984,181202.7537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chchd2|Q9D1L0,736686.246,879176.7516,917780.463,802642.9375,616627.5642,662777.2936,863509.2235,777852.025,487094.8922,573933.3567,717530.3826,1453593.421,776098.7255,729700.6788,719892.435,796780.0198,1343592.485,803165.6913,854663.216,847865.4674,882261.352,1493122.085,1375754.675,748353.6542,684352.3784,876716.1559,743697.365,1323055.306,727265.3382,657135.2114,836728.8019,727902.7147,1245048.529,1051229.152,925447.4287,750467.3966,971151.9382,930265.865,1024334.383,814784.1815,648315.2329,1163834.378,651444.9915,947126.1556
